"No","タイトル","巻号","章見出し","節見出し","項見出し","開始ページ","参照PDF URL","備考"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","４ 堤地区","＜検地と打出＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは54）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","４ 堤地区","＜農業景況＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは54）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","４ 堤地区","＜石仏石塔＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは54）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","４ 堤地区","＜社寺祠堂＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは54）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","４ 堤地区","静神社","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは54）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","４ 堤地区","聖徳太子堂","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは54）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","４ 堤地区","＜堤地区小字図＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは54）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","５ 杉地区","","59","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf",""
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","５ 杉地区","＜概観＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは59）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","５ 杉地区","＜小字名＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは59）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","５ 杉地区","＜物産＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは59）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","５ 杉地区","＜石仏石塔＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは59）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","５ 杉地区","＜社寺祠堂＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは59）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","５ 杉地区","鹿島神社","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは59）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","５ 杉地区","＜杉地区小字図＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは59）"
"新刊","那珂市史","地誌編","Ⅲ 額田地区","","","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に開始ページの記載なし"
"新刊","那珂市史","地誌編","Ⅲ 額田地区","１ 額田東郷地区・額田南郷地区・額田北郷地区","","65","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf",""
"新刊","那珂市史","地誌編","Ⅲ 額田地区","１ 額田東郷地区・額田南郷地区・額田北郷地区","環境","65","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf",""
"新刊","那珂市史","地誌編","Ⅲ 額田地区","１ 額田東郷地区・額田南郷地区・額田北郷地区","＜鯨の化石の発見＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは65）"
"新刊","那珂市史","地誌編","Ⅲ 額田地区","１ 額田東郷地区・額田南郷地区・額田北郷地区","＜久慈川の大蛇行＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは65）"
"新刊","那珂市史","地誌編","Ⅲ 額田地区","１ 額田東郷地区・額田南郷地区・額田北郷地区","＜有ヶ池＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは65）"
"新刊","那珂市史","地誌編","Ⅲ 額田地区","１ 額田東郷地区・額田南郷地区・額田北郷地区","歴史","66","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf",""
"新刊","那珂市史","地誌編","Ⅲ 額田地区","１ 額田東郷地区・額田南郷地区・額田北郷地区","古代","66","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf",""
"新刊","那珂市史","地誌編","Ⅲ 額田地区","１ 額田東郷地区・額田南郷地区・額田北郷地区","＜先土器時代＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは66）"
"新刊","那珂市史","地誌編","Ⅲ 額田地区","１ 額田東郷地区・額田南郷地区・額田北郷地区","遺跡","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは66）"
